"Centro Nacional de Control de Energia"
"Energia de Importacion y Exportacion Liquidada"
"Sistema Interconectado Nacional"
"Reporte Diario"
"Dia de Operacion: 09/jun/2025"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 23/jun/2025 00:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema"
"Sistema"," Liquidacion"," Enlace Internacional"," Hora"," Importacion Comercial (MWh)"," Importacion por Pago de Energia Inadvertida (MWh)"," Importacion por Confiabilidad (MWh)"," Importacion de los CIL (MWh)"," Importacion Total (MWh)"," Exportacion Comercial (MWh)"," Exportacion por Cobro de Energia Inadvertida (MWh)"," Exportacion por Confiabilidad (MWh)"," Exportacion de los CIL (MWh)"," Exportacion Total (MWh)"," Fecha de Actualizacion"
"SIN","0","TAPACHULA-LOS BRILLANTES","22","0","13.35457","0","0","13.35457","15","0","0","120","135","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","23","0","13.53793","0","0","13.53793","0","0","0","120","120","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","24","0","14.89793","0","0","14.89793","60","0","0","120","180","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","1","0","0","0","0","0","54.63614","0","0","0","54.63614","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","2","0","0","0","0","0","54.59781","0","0","0","54.59781","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","3","0","0","0","0","0","54.00164","0","0","0","54.00164","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","4","0","0","0","0","0","53.98665","0","0","0","53.98665","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","5","0","0","0","0","0","53.7971","0","0","0","53.7971","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","6","0","0","0","0","0","53.80327","0","0","0","53.80327","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","7","0","0","0","0","0","54.06537","0","0","0","54.06537","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","8","0","0","0","0","0","55.43998","0","0","0","55.43998","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","9","0","0","0","0","0","54.85655","0","0","0","54.85655","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","10","0","0","0","0","0","53.7713","0","0","0","53.7713","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","11","0","0","0","0","0","53.89893","0","0","0","53.89893","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","12","0","0","0","0","0","54.59013","0","0","0","54.59013","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","13","0","0","0","0","0","54.59803","0","0","0","54.59803","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","14","0","0","0","0","0","54.30866","0","0","0","54.30866","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","15","0","0","0","0","0","54.23813","0","0","0","54.23813","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","16","0","0","0","0","0","53.86847","0","0","0","53.86847","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","17","0","0","0","0","0","54.12588","0","0","0","54.12588","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","18","0","0","0","0","0","53.6811","0","0","0","53.6811","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","19","0","0","0","0","0","55.50325","0","0","0","55.50325","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","20","0","0","0","0","0","53.4655","0","0","0","53.4655","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","21","0","0","0","0","0","54.55017","0","0","0","54.55017","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","22","0","0","0","0","0","53.98944","0","0","0","53.98944","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","23","0","0","0","0","0","53.2022","0","0","0","53.2022","23-Jun-2025 00:00:00"
"SIN","0","XULHA-BELICE","24","0","0","0","0","0","53.27056","0","0","0","53.27056","23-Jun-2025 00:00:00"
