"Centro Nacional de Control de Energia"
"Programa de Generacion de las Unidades representadas por el Generador de Intermediacion (GI) (Calculo ExPost)(No incluye importacion)					"
"Sistema Interconectado Nacional"
"Reporte diario"
"Fecha: 10/jul/2025"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 08/sep/2025 01:20:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Datos horarios:"
"Codigo"," Hora"," Potencia Media (MW)"
"IXB2U34GDGJZU73","5","         23.263"
"IXB2U34GDGJZU73","6","         14.382"
"IXB2U34GDGJZU73","7","         17.534"
"IXB2U34GDGJZU73","8","          1.620"
"IXB2U34GDGJZU73","9","          0.183"
"IXB2U34GDGJZU73","10","          0.259"
"IXB2U34GDGJZU73","11","          0.000"
"IXB2U34GDGJZU73","12","          1.184"
"IXB2U34GDGJZU73","13","         15.808"
"IXB2U34GDGJZU73","14","         13.141"
"IXB2U34GDGJZU73","15","         10.249"
"IXB2U34GDGJZU73","16","          4.249"
"IXB2U34GDGJZU73","17","         17.437"
"IXB2U34GDGJZU73","18","          5.183"
"IXB2U34GDGJZU73","19","         15.391"
"IXB2U34GDGJZU73","20","         17.925"
"IXB2U34GDGJZU73","21","         58.922"
"IXB2U34GDGJZU73","22","         14.127"
"IXB2U34GDGJZU73","23","         17.676"
"IXB2U34GDGJZU73","24","         84.616"
"IXB2U3FAOR0OQHZ","1","          0.000"
"IXB2U3FAOR0OQHZ","2","          0.000"
"IXB2U3FAOR0OQHZ","3","          0.000"
"IXB2U3FAOR0OQHZ","4","          0.000"
"IXB2U3FAOR0OQHZ","5","          0.000"
"IXB2U3FAOR0OQHZ","6","          0.000"
"IXB2U3FAOR0OQHZ","7","          0.000"
"IXB2U3FAOR0OQHZ","8","          0.000"
"IXB2U3FAOR0OQHZ","9","          0.000"
"IXB2U3FAOR0OQHZ","10","          0.000"
"IXB2U3FAOR0OQHZ","11","          0.000"
"IXB2U3FAOR0OQHZ","12","          0.000"
"IXB2U3FAOR0OQHZ","13","          0.000"
"IXB2U3FAOR0OQHZ","14","          0.000"
"IXB2U3FAOR0OQHZ","15","          0.000"
"IXB2U3FAOR0OQHZ","16","          0.000"
"IXB2U3FAOR0OQHZ","17","          0.000"
"IXB2U3FAOR0OQHZ","18","          0.000"
"IXB2U3FAOR0OQHZ","19","          0.000"
"IXB2U3FAOR0OQHZ","20","          0.000"
"IXB2U3FAOR0OQHZ","21","          0.000"
"IXB2U3FAOR0OQHZ","22","          0.000"
"IXB2U3FAOR0OQHZ","23","          0.000"
"IXB2U3FAOR0OQHZ","24","          0.000"
"IXB2U4BY5CF0HT9","1","          2.318"
"IXB2U4BY5CF0HT9","2","          1.223"
"IXB2U4BY5CF0HT9","3","          4.109"
"IXB2U4BY5CF0HT9","4","          2.541"
"IXB2U4BY5CF0HT9","5","          0.683"
"IXB2U4BY5CF0HT9","6","          0.000"
"IXB2U4BY5CF0HT9","7","          0.000"
"IXB2U4BY5CF0HT9","8","          0.000"
"IXB2U4BY5CF0HT9","9","          0.000"
"IXB2U4BY5CF0HT9","10","          0.000"
"IXB2U4BY5CF0HT9","11","          0.000"
"IXB2U4BY5CF0HT9","12","          0.000"
"IXB2U4BY5CF0HT9","13","          0.360"
"IXB2U4BY5CF0HT9","14","          0.081"
"IXB2U4BY5CF0HT9","15","          0.190"
"IXB2U4BY5CF0HT9","16","          1.417"
"IXB2U4BY5CF0HT9","17","          0.205"
"IXB2U4BY5CF0HT9","18","          1.685"
"IXB2U4BY5CF0HT9","19","          8.617"
"IXB2U4BY5CF0HT9","20","          3.200"
"IXB2U4BY5CF0HT9","21","          0.480"
"IXB2U4BY5CF0HT9","22","          4.372"
"IXB2U4BY5CF0HT9","23","          6.661"
"IXB2U4BY5CF0HT9","24","          2.168"
"IXB2U4EFA3WSD8Y","1","         46.667"
"IXB2U4EFA3WSD8Y","2","         46.689"
"IXB2U4EFA3WSD8Y","3","         46.670"
"IXB2U4EFA3WSD8Y","4","         46.648"
"IXB2U4EFA3WSD8Y","5","         46.692"
"IXB2U4EFA3WSD8Y","6","         46.600"
"IXB2U4EFA3WSD8Y","7","         46.596"
"IXB2U4EFA3WSD8Y","8","         46.651"
"IXB2U4EFA3WSD8Y","9","         46.676"
"IXB2U4EFA3WSD8Y","10","         46.750"
"IXB2U4EFA3WSD8Y","11","         46.747"
"IXB2U4EFA3WSD8Y","12","         46.755"
"IXB2U4EFA3WSD8Y","13","         46.780"
"IXB2U4EFA3WSD8Y","14","         17.122"
"IXB2U4EFA3WSD8Y","15","          0.000"
"IXB2U4EFA3WSD8Y","16","          0.000"
"IXB2U4EFA3WSD8Y","17","          0.000"
"IXB2U4EFA3WSD8Y","18","          0.000"
"IXB2U4EFA3WSD8Y","19","          0.000"
"IXB2U4EFA3WSD8Y","20","          0.157"
"IXB2U4EFA3WSD8Y","21","          0.179"
